Event	ID	Name			Wwise Object Path	Notes
	174589936	Rocket_Turret_Single_Reload_Play_69			\Default Work Unit\Turret\Rocket_Turret_Single_Reload_Play_69	
	199318254	Dabstand			\Default Work Unit\Emotes\Dabstand	
	270396623	Breakin			\Default Work Unit\Emotes\Breakin	
	518528820	OldSchool			\Default Work Unit\Emotes\OldSchool	
	639825031	ElectroSwing			\Default Work Unit\Emotes\ElectroSwing	
	829504566	OrangeJustice			\Default Work Unit\Emotes\OrangeJustice	
	957702446	Satchel_Explosion_Play_69			\Default Work Unit\Mines\Satchel_Explosion_Play_69	
	1082843449	HOW			\Default Work Unit\Emotes\HOW	
	1137762271	PawsAndClaws			\Default Work Unit\Emotes\PawsAndClaws	
	1337098116	FancyFeet			\Default Work Unit\Emotes\FancyFeet	
	1378916966	InfiniteDab			\Default Work Unit\Emotes\InfiniteDab	
	1465391682	Cluster_Explosion_Play_69			\Default Work Unit\Mines\Cluster_Explosion_Play_69	
	1466630640	Crabby			\Default Work Unit\Emotes\Crabby	
	1557982612	Floss			\Default Work Unit\Emotes\Floss	
	1614399059	Fresh			\Default Work Unit\Emotes\Fresh	
	1691248994	Infectious			\Default Work Unit\Emotes\Infectious	
	1854630310	Railgun_Turret_Shot_Play_69			\Default Work Unit\Turret\Railgun_Turret_Shot_Play_69	
	2008690894	Turret_Alive_Play_69			\Default Work Unit\Turret\Turret_Alive_Play_69	
	2012643055	Springy			\Default Work Unit\Emotes\Springy	
	2027873358	Extraterrestial			\Default Work Unit\Emotes\Extraterrestial	
	2246715273	DanceTherapy			\Default Work Unit\Emotes\DanceTherapy	
	2289822667	Breakneck			\Default Work Unit\Emotes\Breakneck	
	2390980205	TakeOnMe			\Default Work Unit\Emotes\TakeOnMe	
	2470328564	Intensity			\Default Work Unit\Emotes\Intensity	
	2508478120	NeverGonna			\Default Work Unit\Emotes\NeverGonna	
	2727078031	PopLock			\Default Work Unit\Emotes\PopLock	
	2733523497	Railgun_Turret_Targeting_Play_69			\Default Work Unit\Turret\Railgun_Turret_Targeting_Play_69	
	2755457783	Orbital_Laser_Play_69			\Default Work Unit\Orbital Laser\Orbital_Laser_Play_69	
	2756616215	Droop			\Default Work Unit\Emotes\Droop	
	2988571309	Overdrive			\Default Work Unit\Emotes\Overdrive	
	3112214314	NinjaStyle			\Default Work Unit\Emotes\NinjaStyle	
	3166227828	Seekers_Firing_Play_69			\Default Work Unit\Grenades Seekers\Seekers_Firing_Play_69	
	3286222963	SquatKick			\Default Work Unit\Emotes\SquatKick	
	3296584377	Hype			\Default Work Unit\Emotes\Hype	
	3312475546	Flamenco			\Default Work Unit\Emotes\Flamenco	
	3368384665	Minigun_Turret_Shot_Play_69			\Default Work Unit\Turret\Minigun_Turret_Shot_Play_69	
	3510343821	SpringLoaded			\Default Work Unit\Emotes\SpringLoaded	
	3544378829	PhoneItIn			\Default Work Unit\Emotes\PhoneItIn	
	3930550719	Scenario			\Default Work Unit\Emotes\Scenario	
	3961844726	Rocket_Turret_Shot_Play			\Default Work Unit\Turret\Rocket_Turret_Shot_Play	
	4007368269	Rocket_Turret_Explosion_Play_69			\Default Work Unit\Turret\Rocket_Turret_Explosion_Play_69	
	4069594228	DanceMoves			\Default Work Unit\Emotes\DanceMoves	
	4270838368	Seekers_Explosion_Play_69			\Default Work Unit\Grenades Seekers\Seekers_Explosion_Play_69	

Game Parameter	ID	Name			Wwise Object Path	Notes
	396176897	Volume_Emotes			\Default Work Unit\Volume_Emotes	
	536422634	Turret_Attack_Speed			\Default Work Unit\Turret_Attack_Speed	
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	
	4093208326	Volume_Emote			\Default Work Unit\Volume_Emote	

Effect plug-ins	ID	Name	Type				Notes
	550694185	Wwise Time Stretch (Custom)	Wwise Time Stretch			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	12129637	Overdrive	E:\Backup\WwiseProjects\ROR 2 BadAssEngi\.cache\Windows\SFX\Emotes\Overdrive_03C6F441.wem		\Actor-Mixer Hierarchy\Default Work Unit\Emotes\Overdrive		684864
	12546256	OrangeJustice	E:\Backup\WwiseProjects\ROR 2 BadAssEngi\.cache\Windows\SFX\Emotes\Orange Justice_03C6F441.wem		\Actor-Mixer Hierarchy\Default Work Unit\Emotes\OrangeJustice		483259
	35246558	Orbital Laser	E:\Backup\WwiseProjects\ROR 2 BadAssEngi\.cache\Windows\SFX\Orbital Laser_AC37D373.wem		\Actor-Mixer Hierarchy\Default Work Unit\Orbital Laser\Orbital Laser		542085
	64685271	FancyFeet	E:\Backup\WwiseProjects\ROR 2 BadAssEngi\.cache\Windows\SFX\Emotes\FancyFeet_03C6F441.wem		\Actor-Mixer Hierarchy\Default Work Unit\Emotes\FancyFeet		422101
	75608193	PhoneItIn	E:\Backup\WwiseProjects\ROR 2 BadAssEngi\.cache\Windows\SFX\Emotes\Phone It In_03C6F441.wem		\Actor-Mixer Hierarchy\Default Work Unit\Emotes\PhoneItIn		391294
	76517305	Fresh	E:\Backup\WwiseProjects\ROR 2 BadAssEngi\.cache\Windows\SFX\Emotes\Fresh_03C6F441.wem		\Actor-Mixer Hierarchy\Default Work Unit\Emotes\Fresh		139160
	112449013	Dabstand	E:\Backup\WwiseProjects\ROR 2 BadAssEngi\.cache\Windows\SFX\Emotes\Dabstand_03C6F441.wem		\Actor-Mixer Hierarchy\Default Work Unit\Emotes\Dabstand		78006
	121638003	Rocket Turret Reload Loop 3	E:\Backup\WwiseProjects\ROR 2 BadAssEngi\.cache\Windows\SFX\Rocket Turret Reload Loop 3_AC37D373.wem		\Actor-Mixer Hierarchy\Default Work Unit\Turret\Rocket Turret\Rocket Turret Reload\Rocket Turret Reload Loop\Rocket Turret Reload Loop 3		11409
	125893133	OldSchool	E:\Backup\WwiseProjects\ROR 2 BadAssEngi\.cache\Windows\SFX\Emotes\Old SChool_03C6F441.wem		\Actor-Mixer Hierarchy\Default Work Unit\Emotes\OldSchool		818043
	134919718	Rocket Turret Reload Loop 4	E:\Backup\WwiseProjects\ROR 2 BadAssEngi\.cache\Windows\SFX\Rocket Turret Reload Loop 4_AC37D373.wem		\Actor-Mixer Hierarchy\Default Work Unit\Turret\Rocket Turret\Rocket Turret Reload\Rocket Turret Reload Loop\Rocket Turret Reload Loop 4		8780
	140643252	Countdown Laser	E:\Backup\WwiseProjects\ROR 2 BadAssEngi\.cache\Windows\SFX\Countdown Timer ( v 212 ) 10 sec with Sound effects and Voice HD_AC37D373.wem		\Actor-Mixer Hierarchy\Default Work Unit\Orbital Laser\Countdown Laser		345764
	165101374	Cluster Explosion	E:\Backup\WwiseProjects\ROR 2 BadAssEngi\.cache\Windows\SFX\KF2 Grenade_DA0A04E8.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mine\Cluster Explosion		24648
	165986897	NinjaStyle	E:\Backup\WwiseProjects\ROR 2 BadAssEngi\.cache\Windows\SFX\Emotes\NinjaStyle_03C6F441.wem		\Actor-Mixer Hierarchy\Default Work Unit\Emotes\NinjaStyle		194602
	170501791	DanceTherapyLoop	E:\Backup\WwiseProjects\ROR 2 BadAssEngi\.cache\Windows\SFX\Emotes\Dance Therapy Loop_03C6F441.wem		\Actor-Mixer Hierarchy\Default Work Unit\Emotes\DanceTherapyIntro\DanceTherapyLoop		687771
